y,y_bpred,
110.6241297,100.4384432,10.18568651
115.4603008,104.2525504,11.20775036
125.0396675,102.3879976,22.65166986
128.1283382,114.1907718,13.93756646
128.1283382,109.4847284,18.64360987
130.7879697,117.5884382,13.19953155
130.7879697,113.8112185,16.97675126
130.7879697,111.3117645,19.47620525
132.2109907,122.0707142,10.14027657
132.518325,122.22526,10.29306498
132.518325,119.4726077,13.04571725
133.9201913,123.066727,10.85346421
134.5818173,116.1676639,18.41415334
136.8791297,126.3263029,10.55282681
142.2561538,131.345353,10.91080071
150.7023872,126.2294184,24.47296885
152.0351042,140.0708396,11.96426461
153.9553818,127.5068956,26.44848618
155.7696022,132.6799147,23.08968755
155.7696022,130.9464198,24.82318248
155.7696022,127.4990306,28.27057167
157.5811972,131.5414073,26.03978996
157.5811972,130.1676609,27.4135364
157.5811972,129.7279563,27.85324094
158.5237517,130.2238113,28.29994041
158.5237517,129.6717864,28.85196536
158.5237517,129.0144454,29.50930631
160.2959643,131.5493961,28.74656819
160.2959643,130.9778384,29.3181259
161.9342763,150.1915381,11.74273812
161.9342763,149.2598872,12.67438903
163.3888033,151.8248625,11.56394075
163.3888033,148.9251391,14.46366419
163.3888033,146.3112144,17.07758881
168.4665203,152.724989,15.74153126
168.4665203,152.1012082,16.36531204
168.4665203,151.3287545,17.13776577
168.4665203,150.8144452,17.65207503
169.3093057,148.3807578,20.92854793
169.3093057,146.1825884,23.1267174
171.0605143,155.3243238,15.73619049
171.0605143,154.4000598,16.66045442
171.0605143,147.7059113,23.35460297
174.3712698,162.6858525,11.68541723
174.3712698,161.3768599,12.99440988
174.3712698,160.9522058,13.419064
174.3712698,160.765485,13.60578473
174.3712698,160.5597593,13.81151042
174.3712698,160.0591129,14.31215686
181.0938625,167.5700199,13.52384262
181.0938625,165.2061176,15.88774494
181.0938625,151.9347896,29.15907294
181.0938625,149.875102,31.21876053
184.7840027,164.8967708,19.8872319
204.074864,191.3079979,12.76686608
204.074864,177.6814216,26.39344237
219.4064713,126.269743,93.13672822
219.4064713,124.4076247,94.99884659
226.5399548,205.7601894,20.77976535
227.3118517,216.642547,10.66930473
227.3118517,215.6406969,11.67115483
232.0325007,220.561867,11.47063372
232.729571,213.3692003,19.36037074
233.3780695,221.3854781,11.99259136
233.3780695,219.6219423,13.75612717
233.3780695,192.3704909,41.00757863
239.1974903,198.2809493,40.91654098
239.1974903,196.8848069,42.31268331
239.1974903,194.765018,44.43247225
241.3582767,224.8643726,16.49390419
246.7247988,235.0080529,11.71674583
247.7014848,233.1186741,14.58281061
248.8960873,237.3830524,11.51303481
257.9409348,245.6196623,12.3212725
257.9409348,244.2020534,13.73888133
257.9409348,243.3230443,14.61789046
257.9409348,241.7517217,16.18921308
257.9409348,240.8341883,17.10674646
257.9409348,240.1403501,17.80058465
260.286819,226.9290029,33.3578161
262.9149445,247.8226182,15.09232629
262.9149445,242.128856,20.78608845
263.9323258,248.2233417,15.70898402
263.9323258,247.8571874,16.07513835
265.0796693,254.5591136,10.52055564
265.7505102,255.2250011,10.52550905
268.6871063,257.6595932,11.02751307
268.6871063,255.7746065,12.91249973
270.2965378,259.5948118,10.70172593
271.5305227,260.8621376,10.66838516
271.6985548,259.0506523,12.6479025
271.6985548,258.0233727,13.67518207
271.6985548,254.7879399,16.91061481
273.4812693,262.7827426,10.69852669
273.5521577,247.0141609,26.53799684
274.65525,263.3298659,11.32538414
276.3509407,263.6468434,12.70409732
277.6033043,260.8570872,16.74621706
279.1313453,265.9882819,13.14306333
280.062375,269.9887647,10.07361033
280.7985378,266.697759,14.10077877
281.1189484,269.3574264,11.76152195
281.1189484,268.9017253,12.21722304
282.0850328,271.9689618,10.1160709
283.0774718,250.7231812,32.35429052
283.0774718,250.4969353,32.58053648
283.0774718,250.1430628,32.93440897
283.0774718,249.1970869,33.88038481
283.0774718,246.8597449,36.21772683
285.9497687,273.7265727,12.22319605
286.5772633,265.6076255,20.96963777
286.5772633,262.9311757,23.64608751
286.8739448,273.6102263,13.26371844
287.2546422,277.1322031,10.1224392
