smi
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c[nH]nn2)c([N+](=O)[O-])c1
O=[N+]([O-])c1cc(-n2cc([N+](=O)[O-])nn2)cc([N+](=O)[O-])c1
O=[N+]([O-])c1cn(-c2ccc([N+](=O)[O-])c([N+](=O)[O-])c2)nn1
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3c([N+](=O)[O-])cc([N+](=O)[O-])cc32)c([N+](=O)[O-])c1
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc([N+](=O)[O-])cc([N+](=O)[O-])c32)c([N+](=O)[O-])c1
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc4c(cc32)nnn4-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nnn[nH]2)c([N+](=O)[O-])c1
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc([N+](=O)[O-])c([N+](=O)[O-])cc32)c([N+](=O)[O-])c1
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nn2)c([N+](=O)[O-])c1
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-n2ccnn2)c1[N+](=O)[O-]
O=[N+]([O-])c1cnn[nH]1
[N-]=[N+]=Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
O=[N+]([O-])OCn1nnc([N+](=O)[O-])n1
[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-]
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3ccccc32)c([N+](=O)[O-])c1
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2ccnn2)c([N+](=O)[O-])c1
N#[N+]c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-]
Cc1c([N+]#N)c([O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-]
O=[N+]([O-])OCCC(CCN(CCC(CCO[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(NCCO[N+](=O)[O-])c1[N+](=O)[O-]
O=[N+]([O-])OCC1OC2OC3C(CO[N+](=O)[O-])OC(OC1C(O[N+](=O)[O-])C2O[N+](=O)[O-])C(O[N+](=O)[O-])C3O[N+](=O)[O-]
CC(CN(CCO[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
O=[N+]([O-])OCCNc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-]
O=[N+]([O-])OCCCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
O=[N+]([O-])OCN(CN(CN(CN(CO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
O=[N+]([O-])OCCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CN(C=O)[N+](=O)[O-]
COCN(CN(CN(COC)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CC(CCN(C(=O)OCC(COC(=O)N(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CN(CCN[N+](=O)[O-])[N+](=O)[O-]
O=C1NC2C(NC(=O)N2[N+](=O)[O-])N1[N+](=O)[O-]
CN(CCN(C(=O)C(=O)N(CCN(C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
O=[N+]([O-])N=C1NCN([N+](=O)[O-])CN1
CCC(CN(CC(CC)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CN(C(=O)C(=O)N(C)[N+](=O)[O-])[N+](=O)[O-]
O=C1NC2C(N([N+](=O)[O-])CN2[N+](=O)[O-])N1[N+](=O)[O-]
O=[N+]([O-])NCCN(CCN(CCN[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CC(CCN(C(=O)OCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CC(CN(CCC(CCN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
O=[N+]([O-])NCCN(CCN[N+](=O)[O-])[N+](=O)[O-]
CC(CCN(CC(CN(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CC(CCN(C(=O)C(=O)N(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
O=[N+]([O-])N1CCN([N+](=O)[O-])C2C1N([N+](=O)[O-])CCN2[N+](=O)[O-]
O=[N+]([O-])NCCC(CCN[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CCN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
O=[N+]([O-])NCCN[N+](=O)[O-]
CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-]
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1
O=C(CN(CCN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
O=C(CCN(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
COC(=O)C12N([N+](=O)[O-])C(=O)N([N+](=O)[O-])C1(C(=O)OC)N([N+](=O)[O-])C(=O)N2[N+](=O)[O-]
O=[N+]([O-])N(CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
O=C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
Cc1c(N(C)[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-]
CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
O=[N+]([O-])N1CN([N+](=O)[O-])C2C1C1C2N([N+](=O)[O-])CN1[N+](=O)[O-]
